cycles,l1i,l1d,l2,uf
59975816,2,2,128,2
59731958,2,2,128,4
59581198,2,2,128,8
64441717,2,2,128,16
66060573,2,2,128,32
59962489,2,2,256,2
59724172,2,2,256,4
59567585,2,2,256,8
64436091,2,2,256,16
66022526,2,2,256,32
59936885,2,2,512,2
59705718,2,2,512,4
59552345,2,2,512,8
64413015,2,2,512,16
66030231,2,2,512,32
59877673,2,2,1024,2
59713504,2,2,1024,4
59552013,2,2,1024,8
64430107,2,2,1024,16
66031489,2,2,1024,32
59828041,2,4,128,2
59583529,2,4,128,4
59433698,2,4,128,8
64288644,2,4,128,16
65951199,2,4,128,32
59819680,2,4,256,2
59575137,2,4,256,4
59420646,2,4,256,8
64287084,2,4,256,16
65913092,2,4,256,32
59796895,2,4,512,2
59568024,2,4,512,4
59410617,2,4,512,8
64289124,2,4,512,16
65915084,2,4,512,32
59760374,2,4,1024,2
59593249,2,4,1024,4
59431483,2,4,1024,8
64310154,2,4,1024,16
65893923,2,4,1024,32
59786631,2,8,128,2
59544560,2,8,128,4
59392792,2,8,128,8
64244827,2,8,128,16
65867404,2,8,128,32
59780622,2,8,256,2
59536087,2,8,256,4
59384709,2,8,256,8
64241180,2,8,256,16
65825714,2,8,256,32
59763967,2,8,512,2
59533674,2,8,512,4
59377269,2,8,512,8
64239285,2,8,512,16
65833267,2,8,512,32
59724253,2,8,1024,2
59560168,2,8,1024,4
59398106,2,8,1024,8
64278927,2,8,1024,16
65828459,2,8,1024,32
42794760,2,16,128,2
42615191,2,16,128,4
42416612,2,16,128,8
47336864,2,16,128,16
48956811,2,16,128,32
42827992,2,16,256,2
42644594,2,16,256,4
42473970,2,16,256,8
47364126,2,16,256,16
48987245,2,16,256,32
42771401,2,16,512,2
42586077,2,16,512,4
42392968,2,16,512,8
47325209,2,16,512,16
48932742,2,16,512,32
42780799,2,16,1024,2
42596171,2,16,1024,4
42415055,2,16,1024,8
47320960,2,16,1024,16
49005338,2,16,1024,32
42445357,2,32,128,2
42241503,2,32,128,4
42078234,2,32,128,8
46948297,2,32,128,16
48679653,2,32,128,32
42432014,2,32,256,2
42224909,2,32,256,4
42066002,2,32,256,8
46954042,2,32,256,16
48663573,2,32,256,32
42422907,2,32,512,2
42214955,2,32,512,4
42054875,2,32,512,8
46932263,2,32,512,16
48660795,2,32,512,32
42432924,2,32,1024,2
42243823,2,32,1024,4
42095845,2,32,1024,8
46978173,2,32,1024,16
48649247,2,32,1024,32
42706015,2,64,128,2
42506477,2,64,128,4
42354944,2,64,128,8
47228098,2,64,128,16
48797185,2,64,128,32
42441318,2,64,256,2
42236302,2,64,256,4
42070014,2,64,256,8
46951455,2,64,256,16
48662584,2,64,256,32
42417958,2,64,512,2
42211044,2,64,512,4
42052058,2,64,512,8
46949333,2,64,512,16
48655275,2,64,512,32
42447511,2,64,1024,2
42245447,2,64,1024,4
42096525,2,64,1024,8
46977864,2,64,1024,16
48643354,2,64,1024,32
59927011,4,2,128,2
59682184,4,2,128,4
59531039,4,2,128,8
59487703,4,2,128,16
64299220,4,2,128,32
59908679,4,2,256,2
59669582,4,2,256,4
59515328,4,2,256,8
59460825,4,2,256,16
64282480,4,2,256,32
59889876,4,2,512,2
59658825,4,2,512,4
59505627,4,2,512,8
59456898,4,2,512,16
64285766,4,2,512,32
59830817,4,2,1024,2
59666611,4,2,1024,4
59506060,4,2,1024,8
59449344,4,2,1024,16
64289447,4,2,1024,32
59780574,4,4,128,2
59533673,4,4,128,4
59384448,4,4,128,8
59343511,4,4,128,16
64188476,4,4,128,32
59767984,4,4,256,2
59525887,4,4,256,4
59373187,4,4,256,8
59322523,4,4,256,16
64170274,4,4,256,32
59749920,4,4,512,2
59516283,4,4,512,4
59362738,4,4,512,8
59313622,4,4,512,16
64152848,4,4,512,32
59713480,4,4,1024,2
59546334,4,4,1024,4
59383948,4,4,1024,8
59335886,4,4,1024,16
64155705,4,4,1024,32
59739540,4,8,128,2
59497668,4,8,128,4
59346027,4,8,128,8
59306017,4,8,128,16
64109827,4,8,128,32
59726538,4,8,256,2
59489877,4,8,256,4
59333420,4,8,256,8
59286754,4,8,256,16
64087275,4,8,256,32
59708430,4,8,512,2
59482130,4,8,512,4
59324968,4,8,512,8
59260219,4,8,512,16
64071673,4,8,512,32
59674549,4,8,1024,2
59512503,4,8,1024,4
59349236,4,8,1024,8
59304752,4,8,1024,16
64084834,4,8,1024,32
42796556,4,16,128,2
42612289,4,16,128,4
42439038,4,16,128,8
42409832,4,16,128,16
47064088,4,16,128,32
42778646,4,16,256,2
42591693,4,16,256,4
42394593,4,16,256,8
42389684,4,16,256,16
47068360,4,16,256,32
42724142,4,16,512,2
42534461,4,16,512,4
42340154,4,16,512,8
42333505,4,16,512,16
47056617,4,16,512,32
42735240,4,16,1024,2
42541381,4,16,1024,4
42359233,4,16,1024,8
42339813,4,16,1024,16
47097440,4,16,1024,32
42398404,4,32,128,2
42194672,4,32,128,4
42031377,4,32,128,8
41969420,4,32,128,16
46848284,4,32,128,32
42392810,4,32,256,2
42189319,4,32,256,4
42020651,4,32,256,8
41965660,4,32,256,16
46832183,4,32,256,32
42376459,4,32,512,2
42170121,4,32,512,4
42005080,4,32,512,8
41950501,4,32,512,16
46815621,4,32,512,32
42400614,4,32,1024,2
42187470,4,32,1024,4
42045543,4,32,1024,8
41971276,4,32,1024,16
46831220,4,32,1024,32
42626345,4,64,128,2
42426351,4,64,128,4
42274483,4,64,128,8
42213019,4,64,128,16
46948876,4,64,128,32
42378017,4,64,256,2
42173905,4,64,256,4
42005078,4,64,256,8
41949835,4,64,256,16
46829127,4,64,256,32
42368673,4,64,512,2
42162335,4,64,512,4
41997294,4,64,512,8
41942715,4,64,512,16
46811924,4,64,512,32
42392828,4,64,1024,2
42190929,4,64,1024,4
42042021,4,64,1024,8
41971703,4,64,1024,16
46821623,4,64,1024,32
59920949,8,2,128,2
59677366,8,2,128,4
59526360,8,2,128,8
59485230,8,2,128,16
59588754,8,2,128,32
59900893,8,2,256,2
59661793,8,2,256,4
59509796,8,2,256,8
59452003,8,2,256,16
59565395,8,2,256,32
59880176,8,2,512,2
59648897,8,2,512,4
59496607,8,2,512,8
59444994,8,2,512,16
59554642,8,2,512,32
59825261,8,2,1024,2
59660964,8,2,1024,4
59497514,8,2,1024,8
59440711,8,2,1024,16
59588250,8,2,1024,32
59773208,8,4,128,2
59528819,8,4,128,4
59378749,8,4,128,8
59334824,8,4,128,16
59469228,8,4,128,32
59762542,8,4,256,2
59516186,8,4,256,4
59364978,8,4,256,8
59300123,8,4,256,16
59455794,8,4,256,32
59742062,8,4,512,2
59508723,8,4,512,4
59354267,8,4,512,8
59309875,8,4,512,16
59442351,8,4,512,32
59705694,8,4,1024,2
59538439,8,4,1024,4
59376028,8,4,1024,8
59328351,8,4,1024,16
59449123,8,4,1024,32
59734252,8,8,128,2
59489841,8,8,128,4
59340239,8,8,128,8
59296471,8,8,128,16
59391341,8,8,128,32
59721266,8,8,256,2
59480502,8,8,256,4
59329705,8,8,256,8
59273237,8,8,256,16
59374484,8,8,256,32
59709140,8,8,512,2
59478889,8,8,512,4
59322470,8,8,512,8
59268985,8,8,512,16
59358956,8,8,512,32
59669450,8,8,1024,2
59505448,8,8,1024,4
59343462,8,8,1024,8
59299850,8,8,1024,16
59376398,8,8,1024,32
42783781,8,16,128,2
42603784,8,16,128,4
42431214,8,16,128,8
42403308,8,16,128,16
42412960,8,16,128,32
42770860,8,16,256,2
42583907,8,16,256,4
42386456,8,16,256,8
42381758,8,16,256,16
42408245,8,16,256,32
42722486,8,16,512,2
42528359,8,16,512,4
42333465,8,16,512,8
42325629,8,16,512,16
42394201,8,16,512,32
42760480,8,16,1024,2
42573306,8,16,1024,4
42391323,8,16,1024,8
42364157,8,16,1024,16
42452366,8,16,1024,32
42387645,8,32,128,2
42182753,8,32,128,4
42013781,8,32,128,8
41969226,8,32,128,16
42155514,8,32,128,32
42379943,8,32,256,2
42176483,8,32,256,4
42014116,8,32,256,8
41953221,8,32,256,16
42147905,8,32,256,32
42379774,8,32,512,2
42169652,8,32,512,4
42008157,8,32,512,8
41951992,8,32,512,16
42130766,8,32,512,32
42377954,8,32,1024,2
42189706,8,32,1024,4
42041026,8,32,1024,8
41972618,8,32,1024,16
42125638,8,32,1024,32
42618428,8,64,128,2
42421947,8,64,128,4
42270641,8,64,128,8
42208706,8,64,128,16
42281734,8,64,128,32
42377993,8,64,256,2
42173879,8,64,256,4
42004932,8,64,256,8
41949749,8,64,256,16
42143567,8,64,256,32
42373501,8,64,512,2
42166840,8,64,512,4
42001003,8,64,512,8
41946701,8,64,512,16
42120208,8,64,512,32
42392675,8,64,1024,2
42190929,8,64,1024,4
42041890,8,64,1024,8
41971458,8,64,1024,16
42135780,8,64,1024,32
59903302,16,2,128,2
59662974,16,2,128,4
59510676,16,2,128,8
59451753,16,2,128,16
59567304,16,2,128,32
59895122,16,2,256,2
59650829,16,2,256,4
59497027,16,2,256,8
59434138,16,2,256,16
59551733,16,2,256,32
59864447,16,2,512,2
59638163,16,2,512,4
59480765,16,2,512,8
59433199,16,2,512,16
59544494,16,2,512,32
59812377,16,2,1024,2
59652895,16,2,1024,4
59486252,16,2,1024,8
59433539,16,2,1024,16
59564051,16,2,1024,32
59763890,16,4,128,2
59517699,16,4,128,4
59362375,16,4,128,8
59308911,16,4,128,16
59460625,16,4,128,32
59744474,16,4,256,2
59502155,16,4,256,4
59351846,16,4,256,8
59304210,16,4,256,16
59444647,16,4,256,32
59729052,16,4,512,2
59496707,16,4,512,4
59339051,16,4,512,8
59292358,16,4,512,16
59426517,16,4,512,32
59689970,16,4,1024,2
59522622,16,4,1024,4
59361094,16,4,1024,8
59312233,16,4,1024,16
59435911,16,4,1024,32
59718367,16,8,128,2
59473980,16,8,128,4
59324528,16,8,128,8
59277089,16,8,128,16
59379748,16,8,128,32
59710043,16,8,256,2
59465419,16,8,256,4
59314091,16,8,256,8
59255548,16,8,256,16
59357592,16,8,256,32
59687324,16,8,512,2
59463255,16,8,512,4
59304789,16,8,512,8
59251202,16,8,512,16
59343259,16,8,512,32
59653705,16,8,1024,2
59489552,16,8,1024,4
59328534,16,8,1024,8
59284052,16,8,1024,16
59366591,16,8,1024,32
42767981,16,16,128,2
42588183,16,16,128,4
42415410,16,16,128,8
42387518,16,16,128,16
42397233,16,16,128,32
42713521,16,16,256,2
42532597,16,16,256,4
42335041,16,16,256,8
42330058,16,16,256,16
42431533,16,16,256,32
42747557,16,16,512,2
42554540,16,16,512,4
42358400,16,16,512,8
42351916,16,16,512,16
42378523,16,16,512,32
42744775,16,16,1024,2
42557474,16,16,1024,4
42375781,16,16,1024,8
42348524,16,16,1024,16
42436620,16,16,1024,32
42374600,16,32,128,2
42170908,16,32,128,4
42007396,16,32,128,8
41945801,16,32,128,16
42146066,16,32,128,32
42361289,16,32,256,2
42159768,16,32,256,4
41989054,16,32,256,8
41933039,16,32,256,16
42124190,16,32,256,32
42352326,16,32,512,2
42144417,16,32,512,4
41984038,16,32,512,8
41923846,16,32,512,16
42101481,16,32,512,32
42362255,16,32,1024,2
42173932,16,32,1024,4
42025224,16,32,1024,8
41956929,16,32,1024,16
42124369,16,32,1024,32
42637143,16,64,128,2
42439475,16,64,128,4
42286722,16,64,128,8
42223017,16,64,128,16
42267908,16,64,128,32
42370630,16,64,256,2
42165847,16,64,256,4
41999511,16,64,256,8
41942346,16,64,256,16
42126954,16,64,256,32
42349821,16,64,512,2
42143158,16,64,512,4
41977450,16,64,512,8
41922998,16,64,512,16
42098664,16,64,512,32
42375951,16,64,1024,2
42171059,16,64,1024,4
42024729,16,64,1024,8
41948374,16,64,1024,16
42120083,16,64,1024,32
59903260,32,2,128,2
59658164,32,2,128,4
59507003,32,2,128,8
59463513,32,2,128,16
59570874,32,2,128,32
59884978,32,2,256,2
59642619,32,2,256,4
59492396,32,2,256,8
59444595,32,2,256,16
59549719,32,2,256,32
59866876,32,2,512,2
59637929,32,2,512,4
59477197,32,2,512,8
59434541,32,2,512,16
59539459,32,2,512,32
59812318,32,2,1024,2
59652752,32,2,1024,4
59485986,32,2,1024,8
59433539,32,2,1024,16
59568612,32,2,1024,32
59759868,32,4,128,2
59511214,32,4,128,4
59360956,32,4,128,8
59308911,32,4,128,16
59453297,32,4,128,32
59746619,32,4,256,2
59500054,32,4,256,4
59349236,32,4,256,8
59304083,32,4,256,16
59442341,32,4,256,32
59726279,32,4,512,2
59492270,32,4,512,4
59338401,32,4,512,8
59288510,32,4,512,16
59426517,32,4,512,32
59689871,32,4,1024,2
59522491,32,4,1024,4
59360923,32,4,1024,8
59311993,32,4,1024,16
59433235,32,4,1024,32
59718264,32,8,128,2
59473751,32,8,128,4
59320871,32,8,128,8
59276497,32,8,128,16
59373482,32,8,128,32
59702719,32,8,256,2
59465965,32,8,256,4
59309396,32,8,256,8
59246482,32,8,256,16
59357414,32,8,256,32
59687221,32,8,512,2
59455194,32,8,512,4
59302769,32,8,512,8
59258608,32,8,512,16
59343146,32,8,512,32
59653184,32,8,1024,2
59486343,32,8,1024,4
59326639,32,8,1024,8
59277299,32,8,1024,16
59359589,32,8,1024,32
42726046,32,16,128,2
42540321,32,16,128,4
42368678,32,16,128,8
42339148,32,16,128,16
42397094,32,16,128,32
42754777,32,16,256,2
42567907,32,16,256,4
42370509,32,16,256,8
42365715,32,16,256,16
42384648,32,16,256,32
42739461,32,16,512,2
42546502,32,16,512,4
42350458,32,16,512,8
42344011,32,16,512,16
42378338,32,16,512,32
42744523,32,16,1024,2
42557371,32,16,1024,4
42375434,32,16,1024,8
42348286,32,16,1024,16
42428510,32,16,1024,32
42365465,32,32,128,2
42163588,32,32,128,4
41992152,32,32,128,8
41936488,32,32,128,16
42132471,32,32,128,32
42361120,32,32,256,2
42157214,32,32,256,4
41994910,32,32,256,8
41934034,32,32,256,16
42118143,32,32,256,32
42351160,32,32,512,2
42145309,32,32,512,4
41977203,32,32,512,8
41923699,32,32,512,16
42099191,32,32,512,32
42376721,32,32,1024,2
42174876,32,32,1024,4
42025983,32,32,1024,8
41952180,32,32,1024,16
42121756,32,32,1024,32
42604086,32,64,128,2
42402509,32,64,128,4
42249923,32,64,128,8
42187730,32,64,128,16
42252160,32,64,128,32
42357121,32,64,256,2
42151022,32,64,256,4
41990013,32,64,256,8
41929862,32,64,256,16
42114597,32,64,256,32
42355996,32,64,512,2
42145866,32,64,512,4
41984366,32,64,512,8
41928286,32,64,512,16
42095130,32,64,512,32
42354210,32,64,1024,2
42165170,32,64,1024,4
42006585,32,64,1024,8
41945257,32,64,1024,16
42116404,32,64,1024,32
59902396,64,2,128,2
59657325,64,2,128,4
59506167,64,2,128,8
59462674,64,2,128,16
59560647,64,2,128,32
59881314,64,2,256,2
59644742,64,2,256,4
59487528,64,2,256,8
59443710,64,2,256,16
59569111,64,2,256,32
59857420,64,2,512,2
59626282,64,2,512,4
59472649,64,2,512,8
59424102,64,2,512,16
59537766,64,2,512,32
59803471,64,2,1024,2
59643768,64,2,1024,4
59476476,64,2,1024,8
59431317,64,2,1024,16
59565291,64,2,1024,32
59753845,64,4,128,2
59510033,64,4,128,4
59357805,64,4,128,8
59298894,64,4,128,16
59453068,64,4,128,32
59745724,64,4,256,2
59499311,64,4,256,4
59348136,64,4,256,8
59303103,64,4,256,16
59437634,64,4,256,32
59725284,64,4,512,2
59491551,64,4,512,4
59337701,64,4,512,8
59287530,64,4,512,16
59422953,64,4,512,32
59688703,64,4,1024,2
59521594,64,4,1024,4
59360076,64,4,1024,8
59311127,64,4,1024,16
59432853,64,4,1024,32
59701717,64,8,128,2
59465121,64,8,128,4
59308444,64,8,128,8
59264039,64,8,128,16
59372156,64,8,128,32
59704208,64,8,256,2
59465121,64,8,256,4
59307239,64,8,256,8
59264074,64,8,256,16
59351444,64,8,256,32
59683797,64,8,512,2
59454320,64,8,512,4
59299843,64,8,512,8
59252334,64,8,512,16
59340378,64,8,512,32
59649613,64,8,1024,2
59487679,64,8,1024,4
59325777,64,8,1024,8
59280138,64,8,1024,16
59362738,64,8,1024,32
42759085,64,16,128,2
42579281,64,16,128,4
42406605,64,16,128,8
42378800,64,16,128,16
42442069,64,16,128,32
42753689,64,16,256,2
42566770,64,16,256,4
42369535,64,16,256,8
42364578,64,16,256,16
42392177,64,16,256,32
42738408,64,16,512,2
42545694,64,16,512,4
42349408,64,16,512,8
42342966,64,16,512,16
42409185,64,16,512,32
42743604,64,16,1024,2
42556348,64,16,1024,4
42374537,64,16,1024,8
42347461,64,16,1024,16
42397065,64,16,1024,32
42365715,64,32,128,2
42161813,64,32,128,4
41998332,64,32,128,8
41936761,64,32,128,16
42133313,64,32,128,32
42355363,64,32,256,2
42151799,64,32,256,4
41989360,64,32,256,8
41928359,64,32,256,16
42117809,64,32,256,32
42359616,64,32,512,2
42153129,64,32,512,4
41987977,64,32,512,8
41933448,64,32,512,16
42098825,64,32,512,32
42383750,64,32,1024,2
42181658,64,32,1024,4
42032854,64,32,1024,8
41959128,64,32,1024,16
42108797,64,32,1024,32
42600828,64,64,128,2
42400020,64,64,128,4
42247623,64,64,128,8
42185599,64,64,128,16
42260619,64,64,128,32
42353381,64,64,256,2
42149219,64,64,256,4
41979666,64,64,256,8
41925024,64,64,256,16
42123980,64,64,256,32
42354987,64,64,512,2
42145040,64,64,512,4
41983225,64,64,512,8
41927383,64,64,512,16
42103980,64,64,512,32
42368178,64,64,1024,2
42166085,64,64,1024,4
42017282,64,64,1024,8
41943555,64,64,1024,16
42111767,64,64,1024,32
